%%%.exe
^^^^^.exe
_hideme_imhiddenlololol.exe
_huytam_.exe
_Kerne1.exe
3klagia.dll
4fdw.dll
63cica.sys
64dlls.exe
a1g.exe
accctsggw.cat
actcontroller.exe
ActiveX.exe
adodbc.exe
aExplorer.exe
agehhtd.cat
agpbrdg5.sys
aiqpbter.chm
alcom.sys
alcop.sys
antispy.exe
Antispyware.exe
apcdli.sys
apmanager.exe
appconf32.exe
aries.sys
armdvc.sys
armdvc.sys
armrfc.sys
arprmdg5.sys
asc355.sys
asc3550o.sys
asc355O.sys
asd.exe
asplg.sys
assistse.exe
assistseex.exe
asusrx25.sys
ati2ksag.sys
ati2kstg.sys
ati2psag.sys
atiddbxx.sys
atietbxx.sys
atiptax.exe
atixdaxx.dll
atixdbxx.sys
AUserInit.exe
autorun.bat
AVG.vbs
avpe64.sys
avpu32.sys
AVPX32.SYS
AVPX64.SYS
awvvs.exe
axdebugld.sys
b0ff.exe
BASFNDD.sys
Bdsf32.scr
blackice.exe
Blaut.exe
Ble'e.exe
blueodrv.sys
bmtdhk.sys
bmtdhk.sys
boot.vbs
Boot32.sys
bqzpas.sys
bridges.sys
brxdoy.exe
btstack.ibs
bzsqlpa.sys
Cable.exe
cc.exe
ccEtvMgr.pif
cchost.exe
ccmain.exe
cdscsix3r.sys
Celine.scr
chkzero.exe
cinderawasih-4321427.exe
ciscoutility.exe
cisvc.exe
cjamkm.sys
cjwriiigqazft.cat
clbdriver.sys
clicnt40.exe
cmdriver.sys
codeblocks.exe
commond.com
conime.exe
conme.exe
copy.pif
core.sys
corelnetwork.exe
cpudev.sys
crase.exe
crclan.exe
crs.exe
cryptdrv.sys
cryptfg.exe
CsdDriver.sys
csmm.exe
csrssm.exe
ctftpscr32.exe
ctl_w32.sys
CulaterLoader.exe
czvhost.exe
dcompcss.exe
ddabc.exe
ddirectxt.sys
DefLib.sys
Desktop Defender 2010.exe
Desktop Security 2010.exe
desktoplayer.exe
dhlp.sys
directout.sys
directprt.sys
DisMgnt.exe
dllcnfg.exe
dllhst2d.exe
dllvirtual.dll
dllvirtual.exe
dllvirtual.js
dmadoin.exe
docentd.sys
dpnetmsg.exe
dprot.sys
drivemngr.sys
driverpp.sys
drtw6a.sys
DTMONX.EXE
dvb06a.sys
dvdkernl.sys
dwave.sys
dxtpdh.sys
dxtpdx.sys
e67gdfg.ds
eexvpn.sys
efidriver.drv
eksplorasi.pif
ellowtab.txt
emirate.exe
Empty.bat
emul37.sys
emul65.sys
eps32sys.sys
epsn2sys.sys
EPSONSYS.SYS
estsprt.sys
eventsry.exe
ExeRun.exe
exploer.exe
Explorer.exe
fak32.sys
fanxctrld.sys
FF.EXE
fkjdfje.sys
flashdrv3.sys
flashsmt.sys
fnhoje
fprot.sys
fpuext.sys
frwl.exe
fsxxd.sys
fuckkb.exe
fvelwow.sys
gaqy.exe
gdiw2k.sys
gdow2k.sys
geedc.exe
glaide32.sys
gld.exe
God.sys
gr33n.exe
grande48.sys
gsbgqpwwfw.sys
guntest.chm
hcnwg4u.sys
hdddoctor.exe
hdport.sys
hejoice.exe
hello.vbs
helps.dll
hhlmken.scp
hide_evr2.sys
hidedown.exe
hipsrv.mm
hivie.vbe
hotfix.exe
hpdriver.sys
hpprintdrv.sys
hqaply.chm
hqiopa.sys
htmlsync.exe
HWRegProt.sys
hxdefdrv.sys
ibm00003.exe
idaw64.exe
idersrvc.sys
ieqazhew.dll
ieremove.exe
ies4service.sys
iesdl4l.dll
IESPRT.SYS
iesservice4.sys
iexplore.com
imgkulot.bat
inetinfo.exe
ini910p.sys
init32m.exe
inject.exe
InvisibleDrvNT.sys
iph.exe
ipudpb2.sys
iqmanager.exe
IsDrv118.sys
isodvstg.sys
itcoe.sys
itcom.sys
iuzqpaf.sys
jecsst.sys
jfeee.exe
jjakarta.exe
jkghje.dll
jnhjkfrn
jwlbqzpi.dll
jwzpqng.sys
k53lock.sys
kane.exe
kasutio
kavsvc.sys
kbdsys.exe
kcp.sys
ke32psag.sys
ke7dnl.sys
Kerne0110.exe
Kerne12.exe
Kerne121.exe
Kerne1211.exe
Kerne14.exe
Kerne1412.exe
KesenjanganSosial.exe
KHATRA.exe
khtml.sys
kiamarsi.exe
killer.exe
killVBS.vbs
klite.sys
kprof
krnllds.sys
kryo2.sys
ksnhtr.sys
KWatch1.sys
